offensive_words,count
හුකයි,2
හිවල්ලු,2
පරයෙක්,2
අම්මගෙ,2
බලු,2
පොඩි,2
වඳ,2
ලබ්බේ,2
වේසියෙක්,2
මානසික,2
පොන්නයන්ට,2
කොට,2
එක,2
නිවට,2
කෙලින්නේ,1
බුරිත්,1
රැලෙන්,1
මෝඩකම,1
බුරන්න,1
මෝඩකමට,1
යකා,1
මකබෑවිලාම,1
කාළකණ්නි,1
මකබෑවිලි,1
හැපින්නියත්,1
හැපින්නක,1
හොරු,1
හිතාගනිං,1
වෙස්සි,1
තම්බින්ට,1
බල්ලියෝන්,1
තොත්,1
වෙසිගේ,1
වෙස,1
හැතිකරෙ,1
පකරෙන්තු,1
ගෑණිගේ,1
කන,1
කෙබර,1
පකඩ,1
උකාලා,1
කක්ක,1
අප්පිරියයි,1
කුනුහබ්බයක්වත්,1
අරින්න,1
හමනෙන්නඩම,1
මෙලෝ,1
රහක්,1
වස්තු,1
නොද්දකින්,1
සරංගලයක්,1
මිනීමරු,1
කාලකණ්ණින්ය,1
කාලකණ්ණියෙක්ද,1
මාර,1
ගොබිලෙක්නේ,1
තොපිලගේ,1
මැරෙන,1
රටට,1
පොන්නයෙක්ද,1
පිම්පියට,1
නිළිය,1
ඌවත්,1
හි,1
සාපයක්ම,1
උස්සන්ඩ,1
චූටී,1
කොල්ලෙක්,1
කටුකන,1
තං,1
පුකාදියත්,1
කාළකන්නි,1
නදකින්,1
කොල්ලා,1
පිෂ්ෂුඩ,1
වෙනව,1
හැතිකරේට,1
දේශපාළුවොද,1
අයිසෙ,1
අම්මප,1
වැහිනැති,1
හෙණගහන්න,1
වල්ලකින්,1
හුකෑස්,1
කාලකණ්ණිය,1
රිලවා,1
කොල්ල,1
ගොන්නු,1
අවජාතකයා,1
වෑල,1
පකය,1
තොපෙ,1
ලොල්ල,1
සුප්පපන්,1
පුතාලව,1
නොදී,1
චුත,1
වෙයන්,1
සෙද්ද,1
පුතාලාද,1
නපුංසකයන්,1
මුන්ගෙ,1
රෙදි,1
හෙනගහපන්,1
වේසියේ,1
වේසියොත්,1
උඹව,1
වාහේ,1
හුත්තවල්ම,1
වැලහින්න,1
නෙද්දකින්,1
පොලොවේ,1
ගහගන්න,1
ගහපන්,1
හැමිනුනත්,1
ඇන්නම,1
ඇනගත්තු,1
පුකටද,1
පාදඩ,1
තෝවා,1
තකතීරු,1
තොපිම,1
රීගෙන,1
මොන්ගල්ද,1
මොඩ,1
සක්කිලියෝ,1
හිවලෙක්,1
මුස්පේන්තුවා,1
වේ,1
හුකනෝ,1
ටෙෳකන්න,1
පිම්පිය,1
කුක්කොද,1
හුත්තට,1
නෙදකු,1
මේකිට,1
පොන්නකම,1
මැරියන්කෝ,1
පරපුටුවා,1
ගන්න,1
උල්ද,1
හිඟන්නා,1
හිඟන්නෙක්,1
අලුගුත්තේරු,1
උගේ,1
සාපලත්,1
ඔබන,1
ඌව,1
පුකෙන්ද,1
උඹට,1
සක්කිලියො,1
පයියේය,1
සෙත්තපෝච්චි,1
මූසලයෝ,1
සක්කිලිට,1
නාකිච්චි,1
දෙනවා,1
පැත්තෙ,1
ගහගනිං,1
අම්බලං,1
පාලුවෝ,1
කිම්බකට,1
ගෝත,1
හැමණුනා,1
තම්බියෙක්වත්,1
පකො,1
තිරිසන්නු,1
ලොම්බා,1
මෝඩයයා,1
පකෙක්,1
කටට,1
බිජ්ජව,1
ජංගියත්,1
පුකෙනුත්,1
පරයගෙන්,1
මූසලයෙක්,1
විකාරකාරයො,1
ඇටේ,1
ඌරු,1
සිපයි,1
ලබ්බට,1
මොංගල්ද,1
කාළකන්නියො,1
මූසලී,1
ගහ,1
කෙහෙල්,1
රෙද්දෙ,1
මුට,1
මකබෑවියං,1
රිලවො,1
පො,1
කැඳයා,1
පඹයා,1
සාපේ,1
ගහපං,1
බල්ලොත්,1
බල්ලව,1
කුපේ,1
කිම්බගෙ,1
අම්බ,1
හුකන්නලාට,1
ජාන,1
විකෘති,1
විසේ,1
වසලයන්ට,1
වලපල්ලට,1
කාලකන්නයි,1
පාරෙරෙනවුන්,1
ගෑණියෙක්,1
හුත්තවල්,1
හුකාන්,1
තොපිලා,1
දෙන,1
නපුන්සකයින්,1
සුනඛයින්,1
අගමැටි,1
බල්ලන්ගේ,1
වැහි,1
වත්,1
තොනෙ,1
පුත්තලම්,1
බූරුවො,1
මැරිල,1
කපලා,1
රෙද්දම,1
සක්කිලිම,1
වෙවුලන,1
පොන්නයොත්,1
නෙමෙයිනේ,1
තොපිල,1
කිම්බෙක්,1
හුත්තා,1
තම්බි,1
මල්ට්ප්ල්ග්,1
වෙසී,1
කුණුහබ්බයක්,1
පුකදෙන,1
තොපිටනම්,1
චාටර්,1
තවුසේ,1
තවුසේට,1
කම්,1
කම්බ,1
හොරාට,1
බුරුවෝ,1
මහපොලොවට,1
බරක්,1
පඩ,1
ගඳයි,1
පොන්සියා,1
අසූචි,1
වේසියන්ටයි,1
පිම්පියන්ටයි,1
බඩුකෙලි,1
හැතිකරයට,1
කෑලි,1
පලයව්කො,1
මකබැවිලා,1
නපුන්සකයා,1
සක්කිලියා,1
අං,1
පහේ,1
පිං,1
ඉරාගෙන,1
ගෝතයා,1
හැමිනෙනවද,1
කාලකණ්නි,1
කරපංකෝ,1
බරී,1
කැල්ලා,1
ලැජ්ජ,1
නාකියා,1
කොටියෝ,1
හෙනයක්,1
කැටයම්,1
ඩෝ,1
නෙදකින්,1
පොන්සියෝ,1
ගෙ,1
මොරාල්,1
යක්කු,1
කුලෙ,1
කහනවා,1
මොංගලයෝ,1
මලඉලව්ව,1
චීත්තෙ,1
කක්කා,1
පලයව්,1
කාලකාන්නි,1
මරිමෝල්,1
හුත්තකටම,1
වේසකමේ,1
මෝඩයෙක්,1
බූරුවෝ,1
මැරියක්,1
උට්ටො,1
මරන්න,1
බිජු,1
බයියෝ,1
මූට,1
එළදෙන,1
හුත්තක්ද,1
නැට්ට,1
නොදොමකින්,1
වනචර,1
වාතයක්,1
වහ,1
හම්පඩයො,1
වෙවා,1
පුන්නක්කු,1
රාලලා,1
ටහිකේ,1
කැ,1
පුකක්නෙ,1
පරයෝ,1
හම්බයො,1
පාහරයන්ගෙ,1
බොරුකාර,1
ලපයෝ,1
න්නයාගේ,1
හුකලා,1
පුක්,1
චාරය,1
ගෑනියෙ,1
කපල,1
කඳන්,1
ඕකගෙ,1
කලිසම,1
ඔළුවෙන්,1
හොරාගෙ,1
පුපයි,1
ටොයියන්ට,1
මූකලන්,1
බස්සොත්,1
බඩ,1
කරුපයියා,1
උකවා,1
හොල්මනක්,1
ගහන්නෑනේ,1
කනවැන්දු,1
ගැණි,1
කකා,1
අවජාතකයෙක්,1
කාලකන්නියෙක්,1
පලකෝ,1
පෑලියාව,1
ගෙරි,1
වාහෙලට,1
වඳුරන්,1
රෝහලක,1
කැහුටු,1
බුරු,1
මුසලයෝ,1
මැරිය,1
කෑවා,1
මොනෝත්තකටද,1
පෙට්ටි,1
ටොකු,1
ඇනල,1
මරයිනෙ,1
ගුදය,1
මේකි,1
බයියන්ට,1
බයියත්,1
කුනු,1
වෙන්න,1
පකීර්ද,1
පිත්තමා,1
වේසාවා,1
අසික්කිත,1
බල්ලොද,1
අසමජ්ජාති,1
හොරා,1
පනුවො,1
කැත,1
හැමනුනේ,1
දෙපරන්ද,1
ටහිකෙනවා,1
වේසියෝ,1
පුස්,1
කුනුහරිප,1
පිම්පි,1
පාරුවා,1
කලිසමත්,1
ගලෝලා,1
නැමෙයි,1
සිකේ,1
වේසිගෙපුත්තූ,1
කහන්නේ,1
බහෟකාපන්,1
ගස්ලබ්බ,1
පඩයක්,1
හැමිණියං,1
පොන,1
බයියෙක්,1
හුකහන්,1
කපන්න,1
පුතාල,1
අවලම්,1
බල්ලන්ට,1
හත,1
පයියො,1
හිටපන්කෝ,1
හැත්තක්,1
එකි,1
වස,1
අවජාතකයෝ,1
කක්,1
රේඩියො,1
කබලා,1
යක්කුන්ට,1
මැරියව්,1
ලොල්ලෙක්,1
කමේ,1
හුකපන්,1
ලොද,1
මොංගලයගේ,1
පැත්ත,1
හූනූ,1
පාක්කු,1
මයිලක්,1
උස්සන,1
පත්තිනි,1
අම්මලා,1
පඩත්තල,1
ලෙවක්ස්නවනම්,1
හුකවනවා,1
ගුටි,1
පකෙක්ගේ,1
කැහිල්ලක්,1
ගැනිගෙ,1
හුකපි,1
මූසිලයන්ගෙන්,1
කන්,1
තමුසෙල,1
තිරිසන්නුන්ගේ,1
තිරිසනෙක්,1
ගෙම්බෝ,1
බිජ්ජෝයි,1
හුටස්ලයි,1
මුන්ට,1
සිපයියෝ,1
දේශපාලුවන්,1
දාන්න,1
උඹ,1
චූ,1
බිජ්ජට,1
ටෞකණ්ඩ,1
bitch,1
හිපාටුවෙක්,1
පරට්ට,1
තුහ්,1
ලබ්බක්ද,1
හුත්ති,1
දුවන්නේ,1
මැරියං,1
තම්බියා,1
දෙක,1
පුත්තුන්ට,1
ඌවම,1
ප,1
Teamදිගපයිය,1
වට්,1
තලාගන්නැතිව,1
බල්ලන්ගෙ,1
අන්තවාදීන්,1
කටටම,1
බෝම්බ,1
සංසර්ජන්ගෙ,1
ෆක්,1
හුකනව,1
හූනු,1
කුහකයො,1
මූසලේ,1
ටහුකන,1
බබාහුකුං,1
මීහරකෙක්,1
වස්සෙක්,1
බිජ්ජොන්ට,1
තඩි,1
ජොලියට,1
හිටපු,1
පකෙක්ද,1
මූව,1
බිජ්ජෝ,1
වල්කමේ,1
ගෑනුන්ට,1
මෝඩයෙකුට,1
හුකන්නෝ,1
කාලාකණ්ණි,1
ඕයී,1
පන,1
ගොංපොන්නයො,1
මීහරකා,1
පයියවල්,1
ආච්චිට,1
ගරන්නට,1
සෙප්පඩ,1
විජ්ජා,1
බඩුවමයි,1
දිය,1
රෙද්දෙන්,1
බෙල්ල,1
කපයි,1
පිස්සූන්,1
භල්ලො,1
කරුමක්කාර,1
නැ,1
හුත්ත්වල්,1
ජොකා,1
පුක්මන්තලාට,1
පුක්මන්තලා,1
පුක්මන්තෙක්,1
වැස්සිකක්,1
ගොන්වස්ස,1
පැත්තෙන්ද,1
හුකාපන්,1
හුත්තල,1
හුණු,1
පදුරු,1
වේසාවියක්,1
වැලලියන්,1
කොන්ද,1
වෙඩි,1
තියන්න,1
පකර්,1
ගොන්නුන්ට,1
පෞ,1
නවත්තපියකෝ,1
පක්කුන්ට,1
උරලා,1
දෙකත්,1
ලේවකාල,1
හානව,1
හූ,1
පලයන්කෝ,1
පරයන්ට,1
මැරුනට,1
පවු,1
දෙකෙන්,1
හුකන්ඩ,1
වරෙන්,1
හෙනගහවා,1
සිපයියොද,1
බතලයා,1
වස්සා,1
ගෑණිට,1
ගෑණිගෙ,1
ලූස්,1
අරාබි,1
පක්කො,1
සක්කිලිය,1
හුකන්නල,1
ගෑනිගේ,1
හුත්තෙන්,1
පකයින්ගෙන්,1
දීපල්ලා,1
කොල්ලෝ,1
මැරිලා,1
කලු,1
නොදෝමකින්,1
මූසළයා,1
වඳවෙයි,1
ගහානවා,1
හෙළුව,1
පෙන්වීමෙන්,1
පෙන්නන්න,1
බුරැච්චි,1
ඔකී,1
බඩුවට,1
තියං,1
මකබෑවෙලා,1
ඉදහන්,1
හාල්පාරුවෝ,1
නොදමකින්,1
තම්බයියාගේ,1
කවලම්,1
බැල්ලියෙක්,1
බූරුවෙකුද,1
හුක්තෝ,1
නෙව්ස්,1
ජහජරා,1
බල්ලොන්ගේ,1
ආතල්,1
කැරියෝ,1
ලොන්ත,1
කිම්බවල්,1
හුටු,1
බිජ්ජොන්ව,1
හුත්තික්කොලුකෙල්ලනේ,1
ටහුකන්න,1
කොනකපාලයා,1
උබව,1
බේරීම,1
බූදලේ,1
හැමනෙන්නට,1
කෙලිනවා,1
තූ,1
මරි,1
ජිවිත,1
දීදී,1
තෝව,1
යකෙක්නෙ,1
ගහන,1
රෙද්දක්,1
වැඩ,1
පච,1
සත්තු,1
නියාලු,1
පාකයෝ,1
පයියේ,1
වේසියෙකුට,1
පකයව,1
පුකත්,1
පරයො,1
ගල්,1
හැමිනෙන්නේ,1
බුරුත්ත,1
සොත්ති,1
සම්පතක්,1
රොගියාට,1
මොලෙ,1
අවුල්,1
හුත්තලා,1
ඔටු,1
ලබ්බා,1
පජාති,1
පකයො,1
අජූත,1
භූත,1
අඩො,1
ගෙම්බා,1
හොම්බ,1
දෙකයි,1
පණහෙ,1
