offensive_words,count
ගහනව,4
අලි,4
වේසී,4
තමුසෙලා,4
කාළකණ්නි,4
ගෑනු,4
පොල්,4
මැරිය,4
අසික්කිත,4
කට,4
පඩයක්,4
කරුම,4
ජඩ,4
බූරුවෝ,4
කෙරි,4
මූසලයා,4
පරයෝ,4
බොල,4
දෙන්න,4
නුගත්,4
රෙද්දේ,4
ඩෝ,4
වැඩක්,4
මරි,4
බඩුවට,4
බැල්ලියෙක්,4
හුත්තලා,4
පුප,4
හුකන්ඩ,4
මිනිහෝ,4
සක්කිලියා,4
ගෑණියෙක්,4
පුකවල්,4
කැරිම,4
මූසලයෙක්,4
හුත්තවල්,4
දේශපාලුවෝ,4
අනේ,4
හාල්,4
පෙරේත,4
උබ,4
චීත්ත,4
හෙනම,4
පොන්නයොත්,4
උඹලා,4
හුත්තට,4
කාරයෙක්,4
පකයට,4
රෙන්න,4
පෙරේතයා,4
පුකක්,4
වේසියන්ට,4
ගෑණු,4
පු,4
ඕකුන්,4
පකයෙක්,4
කාලකන්ණි,4
ටහුඩු,4
මැරෙන්න,4
ලොන්ත,4
හොරු,4
එක,4
ලබ්බේ,4
නිවට,4
පිස්සෙක්,4
අවජාතකයො,4
බල්ලන්ට,4
පච,4
කුනු,4
කම,4
පකය,4
වේසකම්,4
පුකෙන්,4
පලයව්,4
තවුසෙ,3
ප,3
වහල්ලු,3
පොන්සියෝ,3
හුකලා,3
මුන්ට,3
කාපන්,3
වස්සෝ,3
වැල,3
මෝඩයො,3
කැරියෙක්,3
පැත්ත,3
ලෙව,3
වෙලා,3
ඇරලා,3
උට්ටෝ,3
රිලා,3
කුණු,3
කාරයෝ,3
ලබ්බක්ද,3
බිජ්ජට,3
මැරියං,3
කන්න,3
උබෙ,3
දෙකේ,3
හැතිකරේට,3
පිස්සො,3
ගෑනියෙක්,3
බුරුත්ත,3
හැමිනෙන්නේ,3
ලබ්බා,3
වෙසි,3
හරක්ට,3
වේසියෙකුට,3
පුතාල,3
පයියේ,3
හුකහන්,3
හුකපන්,3
යකා,3
නොදෝමකින්,3
හෙළුව,3
හුකයි,3
මානසික,3
කලු,3
හොරිකඩ,3
හැත්තගේ,3
ලබ්බෝ,3
කොන්ද,3
අම්මගේ,3
හුත්තල,3
ගහලා,3
පරහැත්ත,3
හුත්තේ,3
ආච්චිට,3
ගෑනුන්ට,3
කක්කි,3
කාළකන්නි,3
මුං,3
බිජ්ජොන්ට,3
වේසිඟේ,3
උඹට,3
වෙසිගෙ,3
පොන්නකම,3
පඩංගු,3
ගහන්න,3
කැ,3
පකා,3
හිකනලා,3
පල්,3
ගෙරි,3
වලත්ත,3
ගඳ,3
ගහපං,3
කැරියො,3
දාර,3
මරනවා,3
පලකෝ,3
පිම්පි,3
ජරා,3
වේසාවා,3
පිම්පියො,3
තමුසෙට,3
හොරා,3
ඌරු,3
මූට,3
කාලකන්නියෙක්,3
තඩියා,3
කිම්බක්,3
ගල,3
කිබි,3
කකා,3
අපත,3
බැල්ලී,3
තමුසෙත්,3
කරලා,3
පජාත,3
ලබ්බකටද,3
කපලා,3
තම්බි,3
ශාප,3
ගහපිය,3
බිජ්ජා,3
ලෙවකන,3
වහලා,3
අසූචි,3
බැල්ලිට,3
පුත්තලම්,3
කන,3
මැරිලා,3
නපුන්සකයා,3
ඉරාගෙන,3
ගඳයි,3
නාකියා,3
සිපයියෙක්,3
බරක්,3
බයියෝ,3
ටහුකන්න,3
බඩ්ඩක්,3
අප්පිරියයි,3
කඩේ,3
පනික්කියෝ,3
කපනවා,3
පොන්නයන්ට,3
කෙලින්නේ,2
අම්මගෙ,2
කොල්ල,2
උම්බෙ,2
රි,2
බයිලා,2
හුයන්නක්ද,2
හුකුස්සා,2
ගති,2
තිරිසනා,2
වඳුරා,2
කතා,2
මුසල,2
වලත්තයා,2
බුලෙයා,2
ගලයි,2
කොට,2
මැරෙන,2
පුකත්,2
හූ,2
පලයන්කෝ,2
පවු,2
ගෑණිට,2
ගෑණිගෙ,2
පක්කො,2
මුංට,2
වලා,2
වෙසී,2
අමාරුවක්,2
ගෝතයා,2
හාවා,2
හුකාපං,2
ගල්කෙප්ප,2
නොදැකින්,2
හුකපං,2
තොපිත්,2
බලාපිය,2
මැරිල,2
චාටර්,2
රැල,2
මැරීයන්,2
උට්ටො,2
මරන්න,2
කොලු,2
ජාතිවාදී,2
පුකෙං,2
කපනව,2
පයියෙං,2
පකයල,2
කටක්,2
හැකර,2
පුකෙනුත්,2
බැල්ලියේ,2
වැලි,2
බහුජ්ජ,2
හිගන්නෝ,2
කෑලි,2
හොරෙක්ට,2
කලිසම,2
ගොඩේ,2
බල්ලන්ගේ,2
බයියො,2
අසික්කිතයි,2
කුපාඩි,2
වේසියො,2
වාහෙලා,2
සාපේ,2
ලෙවකන්න,2
මුට,2
මෝල,2
නාකියෙක්,2
මෝඩයෙක්,2
මොඩයා,2
මීහරක්,2
පුපයි,2
නැට්ට,2
මූකලන්,2
කරුපයියා,2
පයියා,2
ගැණි,2
තුප්පැහි,2
කියපන්,2
සම,2
හැඳි,2
ජංගිය,2
දීපන්,2
කක්කා,2
හම්බයො,2
කපල,2
මේකි,2
කෙල,2
හිටපිය,2
භල්ලෝ,2
අම්බරුවෝ,2
හැතිකරය,2
තිරිසන්නු,2
සිපයි,2
මොංගල්ද,2
මූසලී,2
ඌව,2
තැරි,2
බිජ්ජේ,2
කාරයා,2
තප්පුලනවා,2
ඇරගන්න,2
ටවුකන්න,2
හැමිණෙන්න,2
හුකෙ,2
ටොයියන්ට,2
අසමජ්ජාති,2
පනුවො,2
ටහිකෙනවා,2
මොඩයෙක්,2
පුකෙත්,2
බැල්ලියක්,2
බේරෙනවා,2
නොට්ටිගේ,2
කැහුටු,2
බුරු,2
මුසලයෝ,2
කෑවා,2
සිකේ,2
බඩුවම,2
බූරුවට,2
තොපිලට,2
සමනල්,2
අඩො,2
කැහි,2
තොත්,2
වෙසිගේ,2
යන්න,2
පයි,2
සක්කිලියෝ,2
හිවලෙක්,2
දෙනවා,2
ගහගනිං,2
මැසි,2
බල්ලන්,2
බොරුකාර,2
පුක්,2
අමනුස්ස,2
බයික්,2
නැතුව,2
කාපිය,2
හැමනෙන්න,2
කුප්ප,2
හුකන්නලා,2
වාහේ,2
තට්ට,2
නාම්බෝ,2
රෙන්ඩ,2
අහිකුණ්ටිකයො,2
පොන්නකම්,2
කාලා,2
මොන්ගල්ද,2
මූසලය,2
අසහනකාරයා,2
කාලකණ්ණියෙක්,2
අම්මා,2
නොදී,2
චුත,2
වෙයන්,2
වනචරයා,2
වැලලෙන්න,2
පිම්පිය,2
මාලු,2
පොට්ටයෝ,2
ඕයී,2
අඩෝ,2
පලන්න,2
බැල්ලියන්ට,2
මුන්ගේ,2
කෙලින්න,2
පොන්නයොයි,2
පකෙ,2
තුට්ටු,2
උල්ද,2
අලුගුත්තේරු,2
උගේ,2
කාලකණ්ණියා,2
ලොල්ලෙක්,2
කමේ,2
කුණුහරප,2
නපුංසක,2
සිපයියෝ,2
ගොබ්බයෙක්,2
රීලා,2
මූම,2
තමුසෙල,2
තිරිසනෙක්,2
හිපාටුවෙක්,2
ගණිකාව,2
ගරන්න,2
යකූ,2
බන්,2
කිම්බේ,2
ගු,2
අම්මලා,2
තෝත්,2
පඩත්තල,2
ලෙඩ,2
ගැනිගේ,2
ටෝ,2
පල්ලෙ,2
අමුම,2
තමුසේ,2
ඌරෙක්,2
තක්කඩි,2
පෙති,2
රිලවා,2
නපුංසකයන්,2
හෙනගහපන්,2
වේසියොත්,2
උඹව,2
හිත,2
බල්ලනේ,2
චීත්තයක්,2
හුකවන්න,2
කුනුහබ්බ,2
ටහුකන,2
පයියො,2
පුපට,2
බයියෙක්,2
වස්සෙක්,2
මුගෙ,2
මළ,2
වාගේ,2
මුගේ,2
බොලව්,2
තම්බියා,2
කාළකණ්නියා,2
ගුටි,2
කුහකයො,2
කරුමේ,2
හැතිකරයක්,2
තෝවා,2
ටහිකෙන,2
පුකෙ,2
පාහරයන්,2
පොන්,2
ගෑනි,2
බලපියව්,2
බූරුවෙක්,2
කමට,2
බෙහෙත්,2
කොල්ලෙක්,2
අම්මප,2
පලකො,2
අම්ම,2
ඕනේ,2
හෙණම,2
දුප්,2
ගණිකාවක්,2
නොහුකා,2
හැමිනෙන්නෙ,2
මොනෞත්තක්ද,2
උන්ගෙ,2
බහුජ්ජයො,2
කපන්,2
නූගත්,2
තොගෙන්,2
ඊයා,2
පකිස්,2
කරුමෙට,2
පකෙක්ද,2
පක්කුන්ට,2
උරලා,2
දෙකත්,2
බල්ලොන්ට,2
ගොබ්බයි,2
රෙද්දක්ද,2
සුනඛයෙක්,2
තෝපි,2
තොපිව,2
ගැනු,2
ට,2
හිවල්,2
තප්පුලන්න,2
චරිත,2
ඇනපිය,2
බෙල්ල,2
කපන්න,2
හුත්තෙ,2
පරය,2
එකා,2
හුකන්නේ,2
හම්බ,2
හද්ද,2
අංගවිකල,2
මෙලෝ,2
රහක්,2
හිවල්ලු,2
සාපලත්,2
හත,2
පදුරු,2
පන,2
ගොන්නුන්ට,2
හැතිකරෙ,2
හොක්ක,2
පකක්,2
පොන්නයෙක්ද,2
කිම්බවල්,2
කොල්ලෝ,2
ගහන,2
සක්කිලිය,2
හුකන්නල,2
වෙඩි,2
දෙකයි,2
සත්තු,2
නියාලු,2
උස්සලා,2
මෝඩයෝය,2
යන,2
බෑ,2
හිටං,2
පකද,2
අපතයෙක්,2
හැලපයා,2
පස්සෙ,2
බේබදු,2
නොසන්ඩාල,2
මකබෑවිලා,2
තිරිසන්,2
කුහකයන්ට,2
පොන්සියා,2
අං,2
ගෑණිගේ,2
කෙබර,2
දෙකෙන්,2
කොටුවක්,1
අජූත,1
භූත,1
ඕකිට,1
පලු,1
සීනිබෝල,1
හඩු,1
ගද,1
උන්ට,1
ඝනගෙඩියො,1
බඩුවකටනි,1
වංචාකාරයෙක්,1
කං,1
වලලාගෙන,1
තලන්නෙ,1
පිම්පියට,1
වෑල,1
පජාති,1
පුකටද,1
ඇනගත්තු,1
නිව්මෝනියා,1
උඹලත්,1
මුස්ලිම්,1
පොන්නයෝය,1
හැදිගෑවියන්,1
කාලකනින්ට,1
ශිවන්යෙක්,1
මීරක්,1
නොදමකින්,1
හාල්පාරුවෝ,1
ඉදහන්,1
මකබෑවෙලා,1
යකෙක්නෙ,1
දීදී,1
ජිවිත,1
කෙලිනවා,1
හැමනෙන්නට,1
බූදලේ,1
බේරීම,1
උබව,1
කොනකපාලයා,1
දීපල්ලා,1
පකයින්ගෙන්,1
පයිවලින්,1
කැරියෝ,1
බල්ලොන්ගේ,1
ජහජරා,1
නෙව්ස්,1
හුක්තෝ,1
බූරුවෙකුද,1
කවලම්,1
තම්බයියාගේ,1
වරෙන්,1
තියං,1
ඔකී,1
කක්ක,1
උකාලා,1
පකඩ,1
හිතාගනිං,1
සොත්ති,1
ගහානවා,1
වඳවෙයි,1
මූසළයා,1
තියන්න,1
හුත්තෙන්,1
ගෑනිගේ,1
බුරන්න,1
මෝඩකමට,1
මකබෑවිලාම,1
මකබෑවිලි,1
හැපින්නියත්,1
හැපින්නක,1
පකරෙන්තු,1
හුත්තික්කොලුකෙල්ලනේ,1
බිජ්ජොන්ව,1
හුටු,1
සිපයියොද,1
හෙනගහවා,1
හුත්ත්වල්,1
නැ,1
මැරුනට,1
පරයන්ට,1
ලොද,1
පකයව,1
පාකයෝ,1
පණහෙ,1
බුරිත්,1
රැලෙන්,1
මෝඩකම,1
බුරැච්චි,1
පෙන්නන්න,1
පෙන්වීමෙන්,1
ලේවකාල,1
නවත්තපියකෝ,1
පෞ,1
පකර්,1
ගොංපොන්නයො,1
වැලලියන්,1
වේසාවියක්,1
හුණු,1
ගුද,1
පලාගන්න,1
ටෞකනවා,1
පිත්තමා,1
අරාබි,1
ලූස්,1
වස්සා,1
බතලයා,1
ජංගියේ,1
පකෝමේ,1
පයියට,1
දීගෙන,1
කුප්පි,1
මු,1
පපයා,1
ඌකාපන්,1
පාහරයිද,1
නරින්ගේ,1
අන්තවාදීන්ට,1
අන්තවාදී,1
නායකයෝ,1
පලනවා,1
මාර්ගෙනම්,1
හානව,1
අයින්න,1
හුකනාතල්,1
හුත්තකටද,1
කටු,1
අඳින,1
හිගාකන,1
හමන්නලා,1
හැමිනෙනවා,1
නාකිම,1
කාලකණ්නියා,1
සුනඛයෝ,1
අැදලා,1
කනෙන්,1
ලගින්ම,1
ගොන්ද,1
පොන්නයද,1
නපුංසකයො,1
රාක්ෂ,1
පැත්තෙන්ද,1
ගොන්වස්ස,1
වැස්සිකක්,1
පුක්මන්තෙක්,1
පුක්මන්තලා,1
පුක්මන්තලාට,1
ජොකා,1
කරුමක්කාර,1
භල්ලො,1
පිස්සූන්,1
කපයි,1
රෙද්දෙන්,1
දිය,1
පතායා,1
බඩුවමයි,1
විජ්ජා,1
සෙප්පඩ,1
ගරන්නට,1
පයියවල්,1
මෝඩයෙකුට,1
වල්කමේ,1
මූව,1
හිටපු,1
හැමිනෙන,1
පාහරයෙක්,1
අලියෙක්,1
බබ්බුද,1
වසලයෙක්,1
ඌගේ,1
නැට්ටුක්කාර,1
අවජාතකයකු,1
ජොලියට,1
මීහරකෙක්,1
බබාහුකුං,1
දාන්න,1
බයියත්,1
පොන,1
හිටපන්කෝ,1
පයියවලුයි,1
ටිංකිම්බොයි,1
නැනේ,1
හුකෝනව,1
වේසිගෙපුතා,1
පුතාලට,1
පොරගේ,1
තම්,1
ෆක්,1
සංසර්ජන්ගෙ,1
බෝම්බ,1
කටටම,1
අන්තවාදීන්,1
බල්ලන්ගෙ,1
පුත්තුන්ට,1
කැරියන්ව,1
වෙනවා,1
තොපිලාට,1
වැලක්,1
වේසියොන්ට,1
කුජීත,1
බූතයො,1
කල්ලතොනියෝ,1
උන්ගේ,1
අමනයො,1
හිගන,1
වනචරයෙක්,1
උන්මන්තක,1
මැරෙන්නේ,1
දාලා,1
පණුවො,1
වාචාල,1
උට්ටටක්,1
කනට,1
ගහන්නෙ,1
හෙනකදයා,1
පිම්පීයෝ,1
මූසලේ,1
හූනු,1
හුකනව,1
පිරිමි,1
දුවන්නේ,1
bitch,1
ටෞකණ්ඩ,1
හුටස්ලයි,1
බිජ්ජෝයි,1
ගෙම්බෝ,1
තිරිසන්නුන්ගේ,1
කුහකයෝ,1
කුඩ්ඩොයි,1
උඕෙ,1
කොටියො,1
කොටයි,1
පලල්,1
ඩාලින්,1
බල්ලවත්,1
සිගේ,1
කන්,1
මූසිලයන්ගෙන්,1
හුකපි,1
ගැනිගෙ,1
කැහිල්ලක්,1
පකෙක්ගේ,1
ලෙවක්ස්නවනම්,1
පත්තිනි,1
උස්සන,1
බයියෙක්ව,1
ජම්බෝලයා,1
බඩා,1
ඉල්ලන්,1
හුටන්ලා,1
තවුසෙට,1
මැට්ටෝ,1
මරිමෝඩ,1
අවදානවැස්සියෙක්,1
කියාපිය,1
හාල්පාරුවෙක්,1
හාල්පාරුවො,1
පූම්බා,1
පාහරයව,1
කල්ලතොනි,1
අඳබාලයෝ,1
උලතියන්න,1
අකුලෝලම,1
මැරියව්,1
දේශපාලුවන්,1
වට්,1
Teamදිගපයිය,1
කාලලන්නි,1
මයිලක්,1
පාක්කු,1
හූනූ,1
මොංගලයගේ,1
පුස්,1
යක්කුන්ට,1
කබලා,1
රේඩියො,1
කක්,1
වස,1
තමුසෙලගෙ,1
තමුසෙලයි,1
කබරයෝ,1
ගං,1
කාලකන්නින්ට,1
අප්පට,1
ඌවම,1
කාලාකණ්ණි,1
වෙස,1
ගොන්බයියො,1
නොදෝකින්,1
ගොන්නූ,1
හුචක්කු,1
උබලා,1
කුඩු,1
අවජතකයන්ටත්,1
හැලුනොත්,1
හුයන්නෝ,1
බඩ්ඩම,1
යන්නෙ,1
බොක,1
පකීර්ල,1
ඩේසිය,1
හොරුන්ට,1
එකි,1
හුකවනවා,1
ගස්ලබ්බ,1
බහෟකාපන්,1
චාරය,1
න්නයාගේ,1
ලපයෝ,1
පාහරයන්ගෙ,1
පොන්නයෙක්ම,1
හිකීම,1
හිපාටුව,1
ගොබිලොද,1
ගොබිලො,1
පකීර්ද,1
වෙන්න,1
කහන්නේ,1
වේසිගෙපුත්තූ,1
නැමෙයි,1
ගලෝලා,1
කලිසමත්,1
පාරුවා,1
කුනුහරිප,1
රෝහලක,1
වඳුරන්,1
හරකෝ,1
හුයන්නක්,1
හුයන්න,1
නොහුකම,1
හුකන්නෙ,1
බැත්,1
ගොන්නුන්ගේ,1
දිදී,1
ගොංවස්සො,1
හැමිනෙනවානේ,1
මොංගලයොම,1
බූරූ,1
අගමැතියා,1
සුනක,1
නිල,1
ගොයන්,1
මීමැසි,1
කුම්බාන්ඩ,1
වහු,1
කටුස්සි,1
ගොබ්බයා,1
කොනකපා,1
ඌටත්,1
තුච්ඡ,1
වාහෙලට,1
දෙපරන්ද,1
හැමනුනේ,1
බල්ලොද,1
හැමිණියං,1
බයියන්ට,1
උත්තො,1
ගහයි,1
පක්කාලි,1
ටොයියන්ගෙයි,1
බයියන්ගෙයි,1
බූරුවාගේ,1
බලයෙක්,1
බෙබා,1
පලයම්,1
ගොබ්බයන්ට,1
රොම්බ,1
ගෙම්බියො,1
කාලාකන්නි,1
බැල්ලියොන්ගෙ,1
බඩුවගේම,1
අඩෙ,1
පැලෙන්න,1
අමිමලාට,1
කැතේ,1
චික්,1
ත්ත,1
ගැණියෙ,1
ශුකාණු,1
තොල්ලා,1
ගුදය,1
මරයිනෙ,1
ඇනල,1
ටොකු,1
පෙට්ටි,1
මොනෝත්තකටද,1
පෑලියාව,1
අවජාතකයෙක්,1
අවජාතික,1
ලබිබටම,1
බඩුවකගේ්,1
පොංනයෙක්,1
හීරලුවෙක්,1
තඩියෙක්,1
මිරිකන්න,1
කනවැන්දු,1
ගහන්නෑනේ,1
හොල්මනක්,1
උකවා,1
බස්සොත්,1
එළදෙන,1
මැරිලයන්නඔ්න,1
තොපිලවගේ,1
හාල්පාරු,1
තම්බියෙක්,1
ඇරලදෙනවා,1
නරිය,1
දැන්,1
මැරෙනවා,1
කුණුවෙලා,1
නාකියෝ,1
අස්සෙ,1
ලොක්කෙක්,1
පකයන්ට,1
අලිපුකෙන්,1
වෙච්ච,1
ජාතක,1
බල්ලෙක්ට,1
ගස්බල්ලෝ,1
පිංගුත්තරයෝ,1
මීහරකුන්,1
ගෑවිලා,1
හිරිකිතයි,1
උත්ටෝ,1
සමනලයා,1
ගොන්ජා,1
වස්සියෙ,1
පකෙන්තුවන්ට,1
පුපුරල,1
පිහියදැමිමා,1
සරමේ,1
ගෝතයෙක්,1
රික,1
පලා,1
දෙමල,1
පමල,1
උක,1
පාරු,1
ලන්සි,1
ලක,1
පන්සි,1
මුඛය,1
පඩික්කම්,1
පොයිය,1
හොරාගෙ,1
ඔළුවෙන්,1
ඕකගෙ,1
කඳන්,1
චීත්තෙ,1
මලඉලව්ව,1
මොංගලයෝ,1
පුකක්නෙ,1
හුක්කුං,1
ලමයෙක්ට,1
ලොවින්න,1
ලබ්බො,1
හිලත්,1
හපලා,1
කැහුට්ටු,1
කොත්තු,1
නර,1
ලැජ්ජයි,1
කරනවා,1
ගහපියවු,1
පලයංකෝ,1
ගොන්නුනේ,1
පකිස්තාන්පොන්නයෝ,1
සිපයියො,1
වහුතු,1
බහුකාපන්,1
නගින්නෙ,1
කොන්ඩයා,1
තට්ටයා,1
හකරා,1
බඩගෝස්තර,1
ටහිකේ,1
රාලලා,1
පුන්නක්කු,1
වෙවා,1
හම්පඩයො,1
වහ,1
වාතයක්,1
නොදොමකින්,1
මැරියක්,1
මල,1
කිම්බෙ,1
පකෙක්ට,1
රැලක්,1
ගෙම්බන්පිල,1
කර,1
තොත්තු,1
පුk,1
සුද්දෝ,1
වේසිගේපුතේ,1
බඩුවත්,1
කාලකන්නිකමකට,1
සේවයේ,1
ගණිකා,1
ගෑනුටික,1
ඔල්මාද,1
සතා,1
වසලයා,1
උබට,1
ගේ,1
පරට්ටයන්ව,1
ගූපුච්චන්,1
සින්,1
අතේ,1
කෙලවුන,1
සයිස්,1
අනුන්ගෙ,1
හුකන්නෙක්,1
පුකද,1
අඩේ,1
හුකන්නොන්ට,1
ගොබ,1
කරයි,1
හැතිරි,1
නාකියිද,1
කෙලින්,1
අමාරුකාරයෙක්,1
මොලේ,1
ලොංත,1
වහලෙක්,1
හුත්තකටම,1
මරිමෝල්,1
කාලකාන්නි,1
මකබැවිලා,1
පලයව්කො,1
හැතිකරයට,1
බඩුකෙලි,1
පිම්පියන්ටයි,1
වේසියන්ටයි,1
කහනවා,1
කුලෙ,1
පාපතර,1
දෙශපාලුවෙක්,1
අසික්කිතම,1
වැදියාආආආආන්,1
බොලාගෙ,1
ඌගෙ,1
වානරයෝ,1
හෙලුව,1
ලබ්බන්ටයි,1
ගාය,1
ගිනිපුක්,1
වී,1
වැටීයන්,1
ලිස්සා,1
බූරුවෙක්ට,1
හොම්බට,1
නපුර්සක,1
පකීර්,1
හිල,1
වයිරී,1
බූරුවෙක්ද,1
අම්මලට,1
පාණ්ඩුව,1
ෆොන්න,1
බබාහුකුම්,1
කාලකණ්ණිම,1
දැනගනින්,1
රංගොන්ජා,1
කැරිමලයිස්,1
මි,1
සිඟිති,1
උපන්,1
බට්ටෙකු,1
සිපයියා,1
පේන්න,1
කහන්නෙ,1
පිහියකින්,1
හිකිනත්,1
සුදු,1
ගෝතය,1
ගෑවියෝ,1
හැදිම,1
රෙද්දවල්,1
බුදිය,1
තිරිසනෝ,1
යෝනියකටද,1
ගෑණියේ,1
පිස්සුද,1
හිනාවෙනව,1
හුකම්නලා,1
රෙවිලා,1
කුහක්,1
තෝවගේ,1
කථානයකයො,1
රෑළක්,1
ලෙවකාගෙන,1
මැටිමෝල්ලු,1
ගැලෙව්වා,1
සක්කිලියෙක්ගේ,1
බිලිංජා,1
කුක්කු,1
හැමිනුනාම,1
බඩුම,1
නෙලපියව්,1
ශාපයක්,1
බූරුවෙක්නෙ,1
බැසීම,1
අනින්න,1
අමනයා,1
නෙට්වක්,1
මව,1
මොරාල්,1
ගෙ,1
බිජු,1
තොපිටනම්,1
පුකදෙන,1
හෙනයක්,1
කොටියෝ,1
ලැජ්ජ,1
කැල්ලා,1
බරී,1
කරපංකෝ,1
කිම්බෙක්,1
ගෑනියෙ,1
නෙද්දකිං,1
තෙප්පිලි,1
සිපයියන්ගේ,1
පනහේ,1
හ්,1
හොරෙන්,1
කැඩිච්ච,1
බමුණා,1
නපුන්සක,1
පකයාගේ,1
මූණ,1
පොන්නසේකාගේ,1
සමනල,1
පකයින්ට,1
දාල,1
කබ්බ,1
බිජ්ජෙ,1
බිජ්ජන්,1
නදෝමකින්,1
කුණුහබ්බයක්,1
හැමිනෙනවද,1
පිං,1
පහේ,1
මහපොලොවට,1
බුරුවෝ,1
හොරාට,1
බලපන්,1
තීද,1
එකක්,1
පානවා,1
හරක්ගේ,1
පයියෝ,1
හැම,1
ඇටයක්,1
හැමිනිච්ච,1
වදයක්නෙ,1
මැදමුලනයා,1
නානෝ,1
කපපු,1
කොන,1
ලංසි,1
සයිකොද,1
භූගත,1
හැලිලා,1
වැටියං,1
ගැඩවිල්,1
උබලගෙ,1
ඇටදෙකේ,1
ලබ්බටද,1
සමහරක්,1
පාහරයා,1
බීපිය,1
බල්ලන්ව,1
දෙමළ,1
යන්නේ,1
අසික්කිතය,1
පිස්සුදෝත්තෝ,1
ගැලවේ,1
මුද්දර,1
බලල්ලු,1
සක්කිලියෙක්,1
